id_listing,merk,model,segmen,tahun,kilometer,transmisi,bahan_bakar,kapasitas_cc,warna,kota,jumlah_pemilik,riwayat_servis,bekas_banjir,bekas_tabrak,pajak_hidup,budget_user_juta,harga_jual_juta,rekomendasi_score
MB20180031,Daihatsu,Ayla,City Car,2018,46797,MT,Bensin,1190,Silver,Denpasar,2,Lengkap,Tidak,Tidak,Ya,71.7,84.3,68.3
MB20160032,Daihatsu,Ayla,City Car,2016,137981,AT,Bensin,1064,Coklat,Tangerang,2,Sebagian,Tidak,Tidak,Tidak,52.0,51.6,73.8
MB20220033,Toyota,Agya,City Car,2022,39622,MT,Bensin,1137,Kuning,Jakarta,2,Lengkap,Tidak,Tidak,Ya,107.5,138.9,63.7
MB20190034,Toyota,Agya,City Car,2019,74481,AT,Bensin,1101,Putih,Makassar,2,Sebagian,Tidak,Tidak,Tidak,107.6,79.0,85.7
MB20150035,Daihatsu,Xenia,MPV,2015,253736,AT,Bensin,1454,Silver,Surabaya,3,Lengkap,Tidak,Tidak,Ya,85.7,84.4,64.0
MB20140036,Toyota,Avanza,MPV,2014,306223,MT,Bensin,1491,Biru,Yogyakarta,1,Lengkap,Tidak,Tidak,Ya,99.8,85.7,65.1
MB20190037,Daihatsu,Terios,SUV,2019,43373,MT,Bensin,1500,Hitam,Bandung,1,Tidak Ada,Tidak,Tidak,Ya,187.6,169.6,87.2
MB20110038,Daihatsu,Xenia,MPV,2011,45569,MT,Bensin,1413,Kuning,Bekasi,4,Tidak Ada,Tidak,Ya,Ya,63.8,53.1,53.4
MB20230039,Mitsubishi,Xpander,MPV,2023,47415,MT,Bensin,1500,Putih,Bandung,3,Sebagian,Ya,Tidak,Ya,175.4,171.4,69.3
MB20210040,Toyota,Rush,SUV,2021,60746,AT,Bensin,1500,Kuning,Bandung,3,Lengkap,Tidak,Ya,Ya,185.6,202.6,66.3
MB20240041,Toyota,Fortuner,SUV,2024,19185,AT,Diesel,2775,Putih,Makassar,3,Lengkap,Tidak,Tidak,Tidak,727.3,632.6,104.9
MB20140042,Mitsubishi,Xpander,MPV,2014,43313,AT,Bensin,1500,Silver,Tangerang,3,Sebagian,Tidak,Tidak,Ya,121.3,107.4,76.6
MB20220043,Honda,HR-V,SUV,2022,22908,CVT,Bensin,1655,Putih,Makassar,3,Sebagian,Tidak,Ya,Ya,318.1,270.4,81.6
MB20230044,Daihatsu,Ayla,City Car,2023,23799,AT,Bensin,1133,Biru,Tangerang,1,Lengkap,Tidak,Tidak,Ya,174.4,152.3,107.2
MB20240045,Daihatsu,Ayla,City Car,2024,14196,AT,Bensin,1049,Abu-abu,Yogyakarta,1,Tidak Ada,Tidak,Tidak,Ya,183.4,160.3,106.2
MB20130046,Toyota,Agya,City Car,2013,209495,AT,Bensin,1182,Biru,Semarang,3,Lengkap,Ya,Tidak,Ya,50.0,35.3,43.7
MB20100047,Toyota,Innova,MPV,2010,303375,MT,Diesel,2328,Hitam,Yogyakarta,3,Tidak Ada,Tidak,Tidak,Ya,92.1,115.0,9.9
MB20220048,Toyota,Avanza,MPV,2022,34416,AT,Bensin,1402,Hitam,Bandung,3,Lengkap,Tidak,Tidak,Ya,189.6,198.8,95.8
MB20100049,Honda,HR-V,SUV,2010,196313,CVT,Bensin,1613,Biru,Bandung,3,Lengkap,Tidak,Tidak,Ya,112.3,89.8,61.3
MB20240050,Toyota,Rush,SUV,2024,14820,AT,Bensin,1500,Silver,Makassar,2,Lengkap,Tidak,Tidak,Tidak,344.5,324.2,111.3
MB20240051,Toyota,Rush,SUV,2024,12887,MT,Bensin,1500,Merah,Yogyakarta,3,Tidak Ada,Tidak,Tidak,Ya,207.2,271.2,61.7
MB20140052,Toyota,Avanza,MPV,2014,88005,MT,Bensin,1490,Hitam,Medan,2,Tidak Ada,Tidak,Tidak,Ya,81.8,75.5,64.8
MB20180053,Mitsubishi,Pajero Sport,SUV,2018,101641,AT,Diesel,2400,Biru,Bekasi,2,Tidak Ada,Tidak,Tidak,Ya,485.1,370.9,80.7
MB20180054,Toyota,Fortuner,SUV,2018,111990,AT,Bensin,2755,Abu-abu,Bogor,3,Lengkap,Tidak,Tidak,Ya,418.9,358.1,84.5
MB20230055,Toyota,Rush,SUV,2023,27833,AT,Bensin,1500,Silver,Medan,2,Lengkap,Tidak,Tidak,Ya,204.7,284.1,55.3
MB20220056,Toyota,Agya,City Car,2022,8633,AT,Bensin,1181,Abu-abu,Semarang,2,Sebagian,Tidak,Tidak,Ya,102.6,131.6,63.3
MB20100057,Toyota,Avanza,MPV,2010,327665,MT,Bensin,1402,Kuning,Bogor,2,Sebagian,Tidak,Tidak,Tidak,61.3,51.4,48.5
MB20150058,Mitsubishi,Xpander,MPV,2015,189758,MT,Bensin,1500,Biru,Yogyakarta,1,Lengkap,Tidak,Tidak,Ya,133.5,131.5,79.1
MB20170059,Daihatsu,Xenia,MPV,2017,147664,MT,Bensin,1390,Biru,Makassar,3,Lengkap,Tidak,Tidak,Ya,78.7,102.5,40.3
MB20120060,Honda,Brio,City Car,2012,215844,AT,Bensin,1200,Biru,Surabaya,2,Lengkap,Tidak,Tidak,Tidak,50.0,43.0,60.4
MB20140061,Honda,HR-V,SUV,2014,136745,AT,Bensin,1684,Abu-abu,Tangerang,2,Sebagian,Tidak,Tidak,Ya,129.6,141.7,63.2
MB20100062,Mitsubishi,Xpander,MPV,2010,83572,MT,Bensin,1500,Abu-abu,Depok,2,Lengkap,Tidak,Ya,Ya,72.7,60.0,52.3
MB20140063,Toyota,Avanza,MPV,2014,113388,AT,Bensin,1338,Hitam,Makassar,2,Sebagian,Ya,Tidak,Ya,57.5,72.9,14.1
MB20220064,Honda,HR-V,SUV,2022,51939,CVT,Bensin,1686,Abu-abu,Bekasi,5,Lengkap,Tidak,Ya,Ya,215.3,256.9,52.1
MB20190065,Honda,Brio,City Car,2019,140203,MT,Bensin,1200,Abu-abu,Bandung,2,Sebagian,Tidak,Tidak,Ya,79.2,96.6,53.7
MB20180066,Toyota,Rush,SUV,2018,70443,AT,Bensin,1500,Silver,Bandung,4,Sebagian,Tidak,Tidak,Ya,176.1,153.5,81.0
MB20160067,Toyota,Fortuner,SUV,2016,58279,AT,Diesel,2729,Hitam,Jakarta,1,Lengkap,Tidak,Tidak,Tidak,298.6,330.0,73.9
MB20210068,Mitsubishi,Xpander,MPV,2021,73123,MT,Bensin,1500,Coklat,Bogor,1,Lengkap,Tidak,Tidak,Ya,214.2,220.7,92.7
MB20210069,Honda,Jazz,Hatchback,2021,61832,MT,Bensin,1500,Coklat,Tangerang,2,Sebagian,Tidak,Tidak,Ya,194.6,199.4,92.8
MB20190070,Mitsubishi,Xpander,MPV,2019,9180,AT,Bensin,1500,Biru,Semarang,2,Lengkap,Tidak,Tidak,Ya,184.7,185.8,98.9
MB20200071,Daihatsu,Ayla,City Car,2020,40403,MT,Bensin,1023,Merah,Bandung,1,Lengkap,Tidak,Tidak,Ya,85.7,109.7,63.2
MB20140072,Daihatsu,Terios,SUV,2014,317506,AT,Bensin,1500,Coklat,Bogor,1,Sebagian,Tidak,Tidak,Ya,71.6,97.0,19.8
MB20100073,Suzuki,Ertiga,MPV,2010,307235,AT,Bensin,1439,Silver,Denpasar,1,Sebagian,Ya,Tidak,Ya,74.4,58.7,33.6
MB20160074,Daihatsu,Ayla,City Car,2016,64689,AT,Bensin,1084,Abu-abu,Bogor,2,Lengkap,Ya,Tidak,Ya,52.1,54.5,53.0
MB20240075,Mitsubishi,Pajero Sport,SUV,2024,18773,AT,Diesel,2400,Coklat,Semarang,1,Tidak Ada,Tidak,Tidak,Ya,758.1,631.5,101.6
MB20210076,Toyota,Agya,City Car,2021,100941,MT,Bensin,1035,Merah,Bogor,3,Lengkap,Tidak,Tidak,Ya,131.4,103.0,93.4
MB20120077,Suzuki,Ertiga,MPV,2012,132636,AT,Bensin,1459,Abu-abu,Jakarta,2,Lengkap,Tidak,Tidak,Tidak,56.6,87.8,9.3
MB20200078,Mitsubishi,Pajero Sport,SUV,2020,38824,AT,Diesel,2400,Coklat,Depok,1,Lengkap,Ya,Tidak,Tidak,304.0,343.4,51.3
MB20130079,Daihatsu,Terios,SUV,2013,202430,MT,Bensin,1500,Hitam,Medan,1,Sebagian,Ya,Tidak,Ya,76.8,76.0,39.6
MB20170080,Daihatsu,Terios,SUV,2017,132085,AT,Bensin,1500,Silver,Medan,1,Tidak Ada,Tidak,Ya,Ya,87.5,113.9,22.6
MB20160081,Mitsubishi,Pajero Sport,SUV,2016,72803,AT,Diesel,2400,Silver,Depok,1,Tidak Ada,Ya,Ya,Ya,290.3,221.1,41.1
MB20160082,Mitsubishi,Xpander,MPV,2016,172743,MT,Bensin,1500,Abu-abu,Bekasi,1,Tidak Ada,Tidak,Tidak,Tidak,122.3,111.2,70.2
MB20110083,Honda,HR-V,SUV,2011,307217,AT,Bensin,1502,Hitam,Tangerang,1,Sebagian,Tidak,Tidak,Tidak,88.9,83.3,52.9
MB20140084,Suzuki,Ertiga,MPV,2014,275215,MT,Bensin,1486,Abu-abu,Semarang,3,Tidak Ada,Ya,Ya,Ya,53.9,61.0,0.0
MB20120085,Toyota,Fortuner,SUV,2012,248602,AT,Bensin,2527,Abu-abu,Bandung,1,Lengkap,Tidak,Ya,Tidak,158.6,167.0,41.2
MB20190086,Suzuki,Ertiga,MPV,2019,199622,AT,Bensin,1473,Putih,Bekasi,2,Tidak Ada,Tidak,Tidak,Ya,149.4,137.5,71.9
MB20200087,Mitsubishi,Pajero Sport,SUV,2020,79587,AT,Diesel,2400,Hitam,Medan,2,Sebagian,Ya,Tidak,Tidak,432.9,315.2,62.6
MB20200088,Daihatsu,Xenia,MPV,2020,76344,MT,Bensin,1416,Putih,Depok,3,Lengkap,Tidak,Ya,Ya,109.8,119.9,62.9
MB20180089,Daihatsu,Xenia,MPV,2018,127694,MT,Bensin,1389,Coklat,Bogor,2,Lengkap,Tidak,Tidak,Ya,113.3,107.2,79.0
MB20180090,Suzuki,Ertiga,MPV,2018,75816,AT,Bensin,1462,Hitam,Bekasi,3,Sebagian,Tidak,Tidak,Tidak,148.4,136.3,82.2
MB20190091,Daihatsu,Terios,SUV,2019,63140,AT,Bensin,1500,Silver,Jakarta,2,Lengkap,Tidak,Ya,Ya,170.7,174.6,77.5
MB20120092,Honda,HR-V,SUV,2012,117959,AT,Bensin,1705,Merah,Bogor,1,Lengkap,Tidak,Tidak,Ya,71.1,99.5,20.0
MB20190093,Toyota,Rush,SUV,2019,81253,AT,Bensin,1500,Merah,Surabaya,4,Sebagian,Tidak,Ya,Tidak,113.7,124.3,48.6
MB20230094,Toyota,Rush,SUV,2023,18464,AT,Bensin,1500,Silver,Yogyakarta,1,Sebagian,Tidak,Tidak,Ya,271.7,274.6,94.8
MB20130095,Toyota,Rush,SUV,2013,273872,AT,Bensin,1500,Silver,Jakarta,3,Sebagian,Ya,Ya,Tidak,50.4,52.4,3.9
MB20240096,Toyota,Rush,SUV,2024,17826,AT,Bensin,1500,Putih,Bandung,2,Sebagian,Tidak,Tidak,Ya,328.4,291.5,103.1
MB20100097,Toyota,Rush,SUV,2010,164069,MT,Bensin,1500,Coklat,Depok,1,Sebagian,Tidak,Tidak,Ya,68.8,70.4,58.1
MB20150098,Toyota,Fortuner,SUV,2015,151618,AT,Diesel,2422,Silver,Medan,4,Lengkap,Tidak,Tidak,Ya,260.0,238.4,66.0
MB20170099,Honda,Jazz,Hatchback,2017,86976,MT,Bensin,1500,Coklat,Depok,2,Tidak Ada,Tidak,Tidak,Ya,88.1,118.5,38.5
MB20210100,Daihatsu,Xenia,MPV,2021,40347,AT,Bensin,1423,Merah,Denpasar,1,Tidak Ada,Tidak,Tidak,Tidak,184.1,148.6,93.8
MB20150101,Honda,HR-V,SUV,2015,123190,AT,Bensin,1675,Merah,Bekasi,2,Lengkap,Tidak,Tidak,Ya,178.5,176.8,81.8
MB20200102,Toyota,Innova,MPV,2020,44503,MT,Bensin,2040,Merah,Medan,1,Lengkap,Tidak,Tidak,Ya,411.1,357.5,104.0
MB20120103,Toyota,Rush,SUV,2012,327879,AT,Bensin,1500,Abu-abu,Yogyakarta,2,Tidak Ada,Tidak,Tidak,Tidak,61.8,65.3,32.9
MB20130104,Toyota,Agya,City Car,2013,242998,AT,Bensin,1066,Putih,Bekasi,2,Lengkap,Tidak,Tidak,Tidak,50.0,39.5,61.9
MB20170105,Toyota,Rush,SUV,2017,78152,MT,Bensin,1500,Kuning,Bandung,1,Lengkap,Ya,Ya,Tidak,122.5,107.6,49.6
MB20110106,Honda,Brio,City Car,2011,185785,AT,Bensin,1200,Silver,Makassar,1,Lengkap,Tidak,Tidak,Ya,55.3,48.7,67.7
MB20160107,Toyota,Agya,City Car,2016,148508,MT,Bensin,1137,Abu-abu,Tangerang,4,Lengkap,Tidak,Tidak,Tidak,60.5,58.0,77.6
MB20150108,Suzuki,Ertiga,MPV,2015,96057,AT,Bensin,1455,Biru,Jakarta,2,Sebagian,Tidak,Tidak,Tidak,81.6,94.6,50.7
MB20240109,Honda,Brio,City Car,2024,15760,MT,Bensin,1200,Merah,Makassar,2,Tidak Ada,Tidak,Tidak,Ya,146.2,188.8,61.1
MB20180110,Mitsubishi,Pajero Sport,SUV,2018,134136,AT,Diesel,2400,Hitam,Yogyakarta,1,Sebagian,Tidak,Tidak,Ya,387.6,402.4,81.3
MB20120111,Toyota,Innova,MPV,2012,421533,MT,Diesel,2069,Putih,Bandung,2,Sebagian,Tidak,Tidak,Ya,128.9,124.0,37.9
MB20140112,Honda,Brio,City Car,2014,104226,AT,Bensin,1200,Kuning,Makassar,2,Sebagian,Tidak,Tidak,Tidak,50.0,56.5,51.4
MB20220113,Toyota,Avanza,MPV,2022,15142,AT,Bensin,1339,Putih,Bekasi,1,Sebagian,Tidak,Tidak,Ya,219.0,206.7,105.3
MB20230114,Honda,HR-V,SUV,2023,30793,CVT,Bensin,1582,Abu-abu,Makassar,3,Sebagian,Tidak,Tidak,Ya,216.1,322.3,36.2
MB20210115,Honda,Jazz,Hatchback,2021,24302,MT,Bensin,1500,Silver,Makassar,2,Sebagian,Ya,Tidak,Ya,197.5,181.8,75.3
MB20240116,Toyota,Agya,City Car,2024,12995,AT,Bensin,1088,Hitam,Tangerang,3,Lengkap,Tidak,Tidak,Ya,196.3,167.5,105.7
MB20200117,Toyota,Innova,MPV,2020,111355,AT,Bensin,2131,Silver,Surabaya,2,Lengkap,Tidak,Tidak,Ya,293.9,308.3,87.7
MB20140118,Toyota,Fortuner,SUV,2014,129095,AT,Bensin,2782,Silver,Bekasi,4,Sebagian,Tidak,Tidak,Ya,258.8,229.0,67.3
MB20230119,Honda,Brio,City Car,2023,40394,MT,Bensin,1200,Hitam,Medan,3,Tidak Ada,Tidak,Tidak,Ya,118.7,138.5,64.4
MB20160120,Toyota,Rush,SUV,2016,173204,AT,Bensin,1500,Coklat,Bekasi,2,Tidak Ada,Tidak,Tidak,Tidak,185.3,119.1,73.0
MB20210121,Honda,HR-V,SUV,2021,85701,CVT,Bensin,1764,Biru,Bekasi,1,Tidak Ada,Tidak,Tidak,Ya,267.6,252.2,87.5
MB20230122,Daihatsu,Terios,SUV,2023,24755,AT,Bensin,1500,Silver,Yogyakarta,1,Sebagian,Tidak,Tidak,Ya,294.9,252.6,103.5
MB20120123,Honda,Jazz,Hatchback,2012,151452,AT,Bensin,1500,Merah,Denpasar,5,Sebagian,Tidak,Tidak,Ya,79.0,68.1,54.0
MB20160124,Mitsubishi,Xpander,MPV,2016,174375,AT,Bensin,1500,Abu-abu,Denpasar,2,Lengkap,Tidak,Tidak,Ya,187.9,142.6,84.6
MB20200125,Daihatsu,Terios,SUV,2020,43003,MT,Bensin,1500,Kuning,Depok,1,Sebagian,Tidak,Tidak,Ya,250.9,200.1,96.6
MB20220126,Toyota,Rush,SUV,2022,42305,MT,Bensin,1500,Putih,Semarang,1,Lengkap,Tidak,Tidak,Ya,265.0,252.2,102.0
MB20110127,Toyota,Fortuner,SUV,2011,171010,AT,Diesel,2574,Biru,Yogyakarta,3,Sebagian,Tidak,Tidak,Ya,207.5,159.8,57.1
MB20160128,Toyota,Innova,MPV,2016,176106,MT,Bensin,2158,Hitam,Makassar,3,Lengkap,Tidak,Tidak,Tidak,190.4,180.9,73.1
MB20240129,Daihatsu,Ayla,City Car,2024,13755,AT,Bensin,1023,Abu-abu,Jakarta,1,Sebagian,Ya,Ya,Ya,137.9,127.3,70.2
MB20200130,Honda,Brio,City Car,2020,60624,AT,Bensin,1200,Hitam,Bandung,2,Lengkap,Tidak,Tidak,Ya,177.5,135.0,97.4
MB20240131,Daihatsu,Ayla,City Car,2024,4868,AT,Bensin,1192,Kuning,Depok,2,Lengkap,Ya,Tidak,Tidak,105.3,120.7,63.4
MB20230132,Honda,HR-V,SUV,2023,71746,CVT,Bensin,1724,Hitam,Semarang,1,Tidak Ada,Tidak,Tidak,Tidak,223.4,265.0,69.5
MB20180133,Daihatsu,Terios,SUV,2018,42748,MT,Bensin,1500,Silver,Yogyakarta,3,Lengkap,Tidak,Tidak,Ya,182.3,162.0,89.4
MB20120134,Daihatsu,Terios,SUV,2012,163022,MT,Bensin,1500,Biru,Bekasi,1,Sebagian,Tidak,Tidak,Ya,82.3,80.3,60.8
MB20140135,Daihatsu,Xenia,MPV,2014,180514,AT,Bensin,1319,Putih,Tangerang,1,Sebagian,Tidak,Tidak,Ya,67.3,78.3,43.7
MB20170136,Daihatsu,Terios,SUV,2017,57821,MT,Bensin,1500,Coklat,Tangerang,1,Tidak Ada,Tidak,Tidak,Ya,122.4,137.3,65.2
MB20170137,Toyota,Avanza,MPV,2017,159236,MT,Bensin,1371,Hitam,Semarang,1,Tidak Ada,Tidak,Tidak,Ya,63.3,98.1,11.7
MB20160138,Toyota,Rush,SUV,2016,170996,MT,Bensin,1500,Abu-abu,Depok,4,Lengkap,Tidak,Tidak,Ya,140.2,121.7,72.7
MB20110139,Toyota,Agya,City Car,2011,77952,MT,Bensin,1185,Putih,Depok,3,Sebagian,Ya,Ya,Ya,50.0,35.9,30.6
MB20120140,Toyota,Avanza,MPV,2012,206496,AT,Bensin,1460,Silver,Bogor,2,Sebagian,Tidak,Tidak,Ya,87.3,71.3,68.0
MB20220141,Honda,Brio,City Car,2022,43410,AT,Bensin,1200,Hitam,Yogyakarta,3,Lengkap,Tidak,Tidak,Ya,172.6,165.5,96.7
MB20170142,Toyota,Avanza,MPV,2017,130345,MT,Bensin,1319,Silver,Makassar,2,Tidak Ada,Tidak,Tidak,Ya,107.4,91.9,69.4
MB20120143,Mitsubishi,Pajero Sport,SUV,2012,327372,AT,Diesel,2400,Coklat,Denpasar,4,Sebagian,Ya,Ya,Ya,146.6,115.9,3.9
MB20180144,Daihatsu,Xenia,MPV,2018,53698,MT,Bensin,1330,Kuning,Yogyakarta,1,Sebagian,Tidak,Tidak,Ya,174.9,124.0,93.1
MB20220145,Toyota,Fortuner,SUV,2022,37269,AT,Bensin,2741,Coklat,Tangerang,3,Lengkap,Tidak,Tidak,Ya,424.7,554.1,59.9
MB20180146,Toyota,Innova,MPV,2018,43429,AT,Diesel,2317,Abu-abu,Medan,3,Sebagian,Tidak,Tidak,Ya,173.7,287.9,28.1
MB20220147,Daihatsu,Xenia,MPV,2022,2000,MT,Bensin,1446,Biru,Surabaya,2,Tidak Ada,Tidak,Tidak,Tidak,163.3,175.9,88.5
MB20190148,Mitsubishi,Pajero Sport,SUV,2019,112238,AT,Diesel,2400,Merah,Makassar,2,Lengkap,Tidak,Tidak,Ya,506.5,400.6,90.5
MB20180149,Honda,Brio,City Car,2018,81658,MT,Bensin,1200,Silver,Surabaya,2,Lengkap,Tidak,Ya,Ya,93.5,91.0,77.1
MB20120150,Toyota,Innova,MPV,2012,52616,AT,Bensin,2230,Silver,Depok,5,Sebagian,Tidak,Tidak,Tidak,159.9,141.6,71.5
MB20120151,Honda,HR-V,SUV,2012,232051,AT,Bensin,1561,Merah,Tangerang,1,Lengkap,Tidak,Tidak,Ya,119.0,106.9,65.9
MB20180152,Toyota,Avanza,MPV,2018,96430,MT,Bensin,1300,Hitam,Tangerang,3,Lengkap,Tidak,Tidak,Ya,126.3,128.7,80.6
MB20220153,Mitsubishi,Pajero Sport,SUV,2022,28172,AT,Diesel,2400,Kuning,Surabaya,1,Lengkap,Tidak,Tidak,Ya,826.3,675.8,105.8
MB20180154,Toyota,Fortuner,SUV,2018,138391,AT,Bensin,2732,Biru,Bekasi,2,Lengkap,Tidak,Tidak,Ya,388.5,352.4,83.9
MB20130155,Toyota,Innova,MPV,2013,2000,AT,Diesel,2389,Biru,Medan,2,Lengkap,Tidak,Ya,Ya,145.0,156.1,57.8
MB20220156,Mitsubishi,Xpander,MPV,2022,41230,MT,Bensin,1500,Coklat,Bekasi,1,Tidak Ada,Tidak,Ya,Ya,240.2,207.3,79.8
MB20190157,Daihatsu,Ayla,City Car,2019,49548,MT,Bensin,1077,Kuning,Jakarta,1,Tidak Ada,Tidak,Ya,Ya,73.8,76.8,65.0
MB20170158,Honda,Jazz,Hatchback,2017,116132,AT,Bensin,1500,Putih,Depok,4,Sebagian,Tidak,Tidak,Ya,150.5,116.1,72.2
MB20110159,Suzuki,Ertiga,MPV,2011,415313,AT,Bensin,1409,Abu-abu,Semarang,3,Sebagian,Tidak,Tidak,Tidak,64.4,53.7,36.3
MB20220160,Daihatsu,Xenia,MPV,2022,62864,MT,Bensin,1345,Coklat,Semarang,2,Sebagian,Tidak,Tidak,Ya,115.5,152.9,54.0
MB20170161,Daihatsu,Xenia,MPV,2017,92493,AT,Bensin,1404,Hitam,Bekasi,3,Sebagian,Ya,Ya,Tidak,80.8,78.9,42.5
MB20190162,Honda,Jazz,Hatchback,2019,202059,MT,Bensin,1500,Merah,Denpasar,3,Sebagian,Tidak,Ya,Ya,124.8,127.5,60.0
MB20100163,Daihatsu,Ayla,City Car,2010,366651,MT,Bensin,1181,Silver,Denpasar,2,Sebagian,Tidak,Ya,Tidak,50.0,35.6,32.9
MB20160164,Daihatsu,Xenia,MPV,2016,41750,AT,Bensin,1374,Hitam,Semarang,1,Lengkap,Tidak,Ya,Ya,89.3,87.9,73.2
MB20170165,Honda,Jazz,Hatchback,2017,185131,MT,Bensin,1500,Coklat,Bogor,2,Lengkap,Tidak,Ya,Ya,119.6,107.8,63.1
MB20120166,Mitsubishi,Pajero Sport,SUV,2012,182902,AT,Diesel,2400,Silver,Bekasi,2,Sebagian,Tidak,Ya,Ya,187.9,190.5,49.6
